Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Estimates Start After
Algeria	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	8,705.668	9,950.119	10,451.067	11,391.109	12,462.810	13,135.135	13,008.772	13,363.248	14,427.386	17,086.761	22,156.502	33,620.559	40,908.035	44,237.525	54,095.141	71,453.671	89,967.094	95,720.434	95,926.075	108,399.716	135,170.130	136,560.703	143,974.024	164,726.360	189,986.405	230,162.837	254,913.970	276,238.596	319,265.228	282,636.533	333,302.682	397,336.384	432,313.642	434,705.068	440,471.442	417,939.094	427,032.260	471,652.579	483,895.836	2016
Algeria	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,268.607	2,305.505	2,254.328	2,316.679	2,432.717	2,753.697	2,698.915	2,705.111	2,143.742	2,127.866	2,473.512	1,819.984	1,873.422	1,894.946	1,542.974	1,499.143	1,643.265	1,658.732	1,633.090	1,630.071	1,794.695	1,768.577	1,806.860	2,128.385	2,636.309	3,141.027	3,508.959	3,986.564	4,943.502	3,886.059	4,480.719	5,453.894	5,574.507	5,477.055	5,466.329	4,150.689	3,901.807	4,225.004	4,249.684	2016
Algeria	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,640.987	5,069.049	5,549.896	5,887.261	6,237.235	6,483.453	6,427.231	6,377.308	6,287.065	6,678.780	6,891.377	6,864.930	6,963.246	6,817.344	6,748.718	7,010.746	7,278.713	7,361.338	7,698.083	7,942.719	8,282.592	8,599.211	9,085.161	9,786.754	10,332.415	11,125.969	11,487.590	12,008.489	12,267.447	12,321.217	12,667.726	13,026.656	13,431.874	13,737.124	14,211.868	14,581.017	14,955.261	15,149.596	15,271.290	2016
Algeria	Unemployment rate	Percent of total labor force		Source: National Statistics Office Latest actual data: 2016 Employment type: Harmonized ILO definition Primary domestic currency: Algerian dinar Data last updated: 08/2017	15.789	15.385	15.000	14.286	16.536	16.901	18.356	20.056	21.801	18.100	19.757	20.263	21.368	23.152	24.362	28.105	27.986	27.961	28.021	29.293	29.496	27.306	25.664	23.716	17.656	15.265	12.512	13.793	11.333	10.167	9.961	9.971	11.000	9.829	10.600	11.214	10.498	11.663	13.151	2016
Algeria	Population	Persons	Millions	Source: National Statistics Office Latest actual data: 2016 Primary domestic currency: Algerian dinar Data last updated: 08/2017	18.666	19.246	19.864	20.516	21.175	22.200	22.800	23.400	24.100	24.700	25.022	25.643	26.271	26.894	27.496	28.060	28.566	29.045	29.507	29.965	30.506	30.954	31.414	31.885	32.366	32.855	33.351	33.858	34.591	35.268	35.978	36.717	37.495	38.297	39.114	39.963	40.762	41.537	42.326	2016
Angola	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	--	--	--	--	--	--	--	--	--	--	--	--	--	0.002	0.047	1.021	55.154	112.274	159.033	1,037.335	5,376.442	11,224.304	30,076.017	56,819.879	85,506.563	124,503.295	164,973.261	221,128.209	292,443.420	269,204.285	330,793.710	414,400.200	452,984.354	481,522.255	483,247.082	463,863.362	570,027.332	730,134.668	849,593.210	2015
Angola	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	668.880	609.544	593.834	603.066	622.792	680.914	619.801	690.823	729.631	826.108	885.688	833.503	623.942	439.645	310.813	376.603	431.429	491.926	404.856	371.711	535.473	508.857	690.923	761.596	1,023.524	1,428.459	2,052.721	2,882.797	3,897.512	3,393.552	3,599.272	4,411.575	4,744.884	4,988.923	4,915.923	3,876.197	3,484.525	4,401.432	4,762.595	2015
Angola	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,685.035	1,714.956	1,774.418	1,872.897	2,002.778	1,898.395	1,937.476	2,016.514	2,156.606	2,181.568	2,127.419	2,155.361	2,015.333	1,522.750	1,530.087	1,743.977	1,957.600	2,073.745	2,130.665	2,146.082	2,196.075	2,272.424	2,546.232	2,653.673	2,935.234	3,478.576	4,202.825	5,135.414	5,786.054	5,796.764	5,890.810	6,066.033	6,307.059	6,646.204	6,884.012	6,959.126	6,797.110	6,813.205	6,847.865	2015
Angola	Unemployment rate	Percent of total labor force																																										
Angola	Population	Persons	Millions	Source: National Statistics Office Latest actual data: 2015 Primary domestic currency: Angolan kwanza Data last updated: 08/2017	8.872	9.111	9.352	9.597	9.851	11.101	11.418	11.710	12.027	12.357	12.686	13.067	13.459	13.863	14.279	14.707	15.148	15.603	16.071	16.553	17.050	17.561	18.088	18.631	19.189	19.765	20.358	20.969	21.598	22.246	22.913	23.601	24.309	25.038	25.789	26.563	27.360	28.180	29.026	2015
Antigua and Barbuda	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,184.729	5,878.174	6,611.135	7,433.000	8,642.610	10,162.801	12,467.522	14,729.247	17,677.630	19,637.700	20,583.213	21,404.441	21,827.937	22,879.848	24,562.554	23,423.108	25,019.517	26,131.411	27,201.873	27,943.664	29,649.715	28,119.537	28,302.394	29,411.511	31,272.813	34,392.604	38,514.333	43,189.352	44,588.010	39,465.758	36,756.372	36,036.274	37,818.415	36,845.032	39,117.847	41,263.200	43,674.103	45,430.718	46,858.336	2011
Antigua and Barbuda	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,920.270	2,177.102	2,448.568	2,752.963	3,200.967	3,764.001	4,617.601	5,455.277	6,547.270	7,273.222	7,623.412	7,927.571	8,084.421	8,474.018	9,097.242	8,675.225	9,266.488	9,678.300	10,074.768	10,349.505	10,981.376	10,414.643	10,482.368	10,893.152	11,582.523	12,738.001	14,264.568	15,996.056	16,514.078	14,616.947	13,613.471	13,346.768	14,006.820	13,646.308	14,488.092	15,282.667	16,175.594	16,826.192	17,354.939	2011
Antigua and Barbuda	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,901.104	4,463.060	4,790.938	5,323.784	6,172.547	6,973.697	8,071.843	8,982.236	9,929.285	10,957.232	11,716.240	12,269.462	12,490.011	13,164.707	13,980.018	13,290.144	14,037.121	14,644.360	15,091.229	15,506.857	16,570.835	15,834.576	16,070.532	17,200.726	18,490.402	20,091.744	23,098.201	25,633.807	25,851.611	22,649.811	21,050.377	20,812.723	21,703.459	21,798.993	23,074.204	24,013.159	25,346.215	26,198.350	27,215.351	2011
Antigua and Barbuda	Unemployment rate	Percent of total labor force																																										
Antigua and Barbuda	Population	Persons	Millions	Source: International Financial Institution. Growth rates from WDI database, but values based on 2011 census Latest actual data: 2011 Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2017	0.068	0.068	0.067	0.066	0.065	0.064	0.063	0.062	0.061	0.060	0.060	0.061	0.062	0.063	0.065	0.067	0.068	0.070	0.072	0.074	0.076	0.077	0.078	0.079	0.079	0.080	0.081	0.082	0.083	0.084	0.085	0.086	0.086	0.087	0.088	0.089	0.090	0.091	0.092	2011
Argentina	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	--	--	0.001	0.004	0.029	0.189	0.352	0.813	3.825	110.405	2,296.645	5,947.481	7,350.937	7,558.499	8,125.907	8,053.119	8,385.152	8,918.826	9,005.377	8,452.875	8,386.586	7,851.657	9,007.035	10,758.593	12,690.696	15,094.732	18,370.363	22,791.225	28,925.107	31,093.737	40,739.984	52,810.117	63,208.893	79,338.285	107,315.212	135,723.339	184,638.415	234,493.989	281,418.769	2013
Argentina	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	8,106.240	6,467.987	3,158.507	3,841.894	4,241.377	3,149.677	3,739.410	3,790.752	4,386.526	2,779.870	4,709.660	6,233.392	7,420.317	7,558.499	8,125.907	8,053.119	8,385.152	8,918.826	9,005.377	8,452.875	8,386.586	7,851.657	2,898.289	3,648.061	4,314.396	5,163.550	5,976.082	7,315.726	9,146.790	8,337.811	10,412.945	12,787.806	13,889.792	14,488.829	13,208.832	14,643.922	12,493.909	14,061.750	14,342.145	2013
Argentina	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,318.241	6,396.965	6,470.784	6,879.826	7,144.731	6,745.535	7,279.716	7,568.124	7,587.052	7,240.071	7,254.869	8,172.777	9,095.877	9,749.253	10,404.229	10,192.614	10,822.626	11,764.146	12,212.103	11,849.834	11,897.892	11,515.979	10,319.063	11,347.803	12,594.188	14,015.809	15,457.421	17,128.579	17,995.187	16,893.446	18,529.322	19,817.450	19,749.537	20,322.480	19,946.913	20,475.058	20,053.068	20,676.523	21,370.259	2013
Argentina	Unemployment rate	Percent of total labor force		Source: National Statistics Office Latest actual data: 2016 Notes: Argentina's authorities discontinued the publication of labor market data in December 2015 and released new series starting in the second quarter of 2016. Employment type: National definition Primary domestic currency: Argentine peso Data last updated: 08/2017	3.000	5.000	4.500	5.000	5.000	6.250	6.300	6.000	6.500	8.000	7.600	6.480	7.112	11.606	13.348	18.904	18.760	16.808	14.789	16.061	17.134	19.209	22.450	17.250	13.625	11.575	10.175	8.475	7.875	8.675	7.750	7.150	7.200	7.075	7.250	n/a	8.467	8.138	7.712	2016
Argentina	Population	Persons	Millions	Source: National Statistics Office Latest actual data: 2013 Notes: Based on the National Census of 2001 Primary domestic currency: Argentine peso Data last updated: 08/2017	27.950	28.450	28.930	29.340	29.840	30.350	30.740	31.090	31.470	31.860	32.530	32.970	33.420	33.917	34.353	34.779	35.196	35.604	36.005	36.399	36.784	37.156	37.516	37.870	38.226	38.592	38.971	39.356	39.746	40.134	40.788	41.261	41.733	42.203	42.670	43.132	43.600	44.082	44.570	2013
Armenia	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	85.507	1,156.380	56,858.571	162,191.398	208,583.281	256,157.834	307,197.685	319,561.068	334,850.097	384,273.464	446,712.033	534,421.941	629,684.960	745,143.156	885,396.600	1,053,272.040	1,197,391.812	1,057,794.949	1,166,485.130	1,272,899.584	1,436,518.687	1,528,737.651	1,617,513.747	1,686,586.146	1,697,388.474	1,803,741.851	1,920,858.458	2014
Armenia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	31.321	247.884	196.980	399.576	503.774	521.869	608.415	597.241	620.638	692.287	779.122	923.387	1,180.399	1,628.063	2,128.151	3,079.031	3,913.436	2,911.763	3,121.778	3,417.172	3,575.529	3,732.035	3,889.004	3,529.026	3,532.633	3,690.298	3,852.852	2014
Armenia	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,416.267	1,275.764	1,406.668	1,585.081	1,724.217	1,830.466	1,985.333	2,093.078	2,273.346	2,561.940	2,996.233	3,496.872	3,982.419	4,721.849	5,527.642	6,476.547	7,086.088	6,150.250	6,370.175	6,803.483	7,418.098	7,760.515	8,170.329	8,512.766	8,636.993	9,098.375	9,543.180	2014
Armenia	Unemployment rate	Percent of total labor force		Source: ILO Latest actual data: 2015 Employment type: National definition Primary domestic currency: Armenian dram Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	38.400	35.300	31.200	31.600	31.200	27.800	28.700	16.400	18.700	19.000	18.400	17.300	16.200	17.600	18.500	18.790	18.906	18.862	2015
Armenia	Population	Persons	Millions	Source: National Statistics Office Latest actual data: 2014 Primary domestic currency: Armenian dram Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.450	3.370	3.290	3.220	3.170	3.140	3.110	3.090	3.080	3.060	3.050	3.040	3.030	3.010	3.000	2.990	2.980	2.970	2.966	2.968	2.970	2.980	2.985	2.990	2.991	2.991	2.991	2014
Australia	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,668.797	10,910.920	12,036.784	12,857.942	14,310.079	15,664.642	16,777.593	18,564.042	20,738.737	22,966.544	24,147.560	23,973.097	24,643.317	25,694.040	26,979.730	28,266.714	29,654.700	30,979.032	32,370.111	33,730.531	35,820.057	37,560.852	39,810.938	41,812.050	44,524.936	47,364.053	50,319.119	53,857.465	57,553.948	57,631.424	61,294.617	64,689.309	65,696.375	66,844.398	67,832.371	68,056.327	69,549.675	72,718.438	74,641.073	2015
Australia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	11,017.731	12,540.057	12,246.144	11,602.760	12,586.764	10,977.768	11,255.654	13,010.733	16,263.663	18,201.618	18,866.267	18,677.400	18,120.190	17,474.921	19,740.351	20,959.677	23,218.030	23,050.337	20,373.793	21,767.417	20,859.661	19,442.851	21,653.286	27,256.621	32,796.123	36,178.737	37,907.924	45,162.748	49,223.865	45,603.957	56,360.354	66,773.109	68,048.291	64,733.892	61,231.972	51,220.037	51,737.228	56,135.416	58,940.716	2015
Australia	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,439.668	11,697.897	12,228.443	12,491.955	13,586.114	14,578.267	15,011.389	15,895.770	16,851.336	18,045.135	18,732.914	18,925.339	19,670.400	20,742.731	22,008.598	22,834.041	23,976.260	25,190.647	26,369.375	27,607.273	28,803.006	29,799.200	31,131.025	32,327.166	34,190.528	35,934.097	37,457.380	39,427.878	40,373.074	40,647.525	41,511.926	42,810.784	44,361.020	45,287.133	46,682.411	47,643.080	48,712.295	49,882.304	51,536.455	2015
Australia	Unemployment rate	Percent of total labor force		Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2016. Data refer to calendar years Employment type: National definition Primary domestic currency: Australian dollar Data last updated: 08/2017	6.133	5.783	7.183	9.967	8.967	8.258	8.117	8.108	7.200	6.142	6.933	9.608	10.742	10.858	9.700	8.467	8.508	8.358	7.692	6.867	6.283	6.775	6.367	5.942	5.383	5.033	4.792	4.367	4.250	5.575	5.208	5.083	5.217	5.658	6.058	6.058	5.733	5.569	5.355	2016
Australia	Population	Persons	Millions	Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2015. Data refer to calendar years Primary domestic currency: Australian dollar Data last updated: 08/2017	14.802	15.039	15.289	15.484	15.677	15.901	16.139	16.395	16.687	16.937	17.170	17.379	17.557	17.719	17.893	18.120	18.330	18.510	18.706	18.919	19.141	19.386	19.605	19.827	20.046	20.312	20.628	21.016	21.476	21.866	22.172	22.527	22.942	23.322	23.673	24.013	24.386	24.764	25.149	2015
Austria	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,053.901	10,681.405	11,451.321	12,238.980	12,847.187	13,531.210	14,207.687	14,731.835	15,754.024	16,811.678	17,949.108	19,078.074	19,927.694	20,366.673	21,257.910	22,166.223	22,883.834	23,633.124	24,549.753	25,451.724	26,611.052	27,367.270	28,000.410	28,454.327	29,562.010	30,759.969	32,230.246	34,037.428	35,081.291	34,309.055	35,238.030	36,791.923	37,634.132	38,047.711	38,672.780	39,387.595	39,971.631	41,174.334	42,329.180	2016
Austria	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,707.968	9,259.984	9,246.949	9,396.186	8,862.776	9,070.476	12,857.293	16,057.045	17,593.403	17,508.590	21,778.653	22,571.318	25,012.367	24,098.675	25,668.057	30,289.196	29,756.001	26,682.845	27,328.536	27,152.287	24,589.189	24,510.765	26,444.124	32,176.936	36,754.571	38,319.386	40,469.858	46,652.912	51,629.646	47,785.563	46,757.130	51,192.565	48,381.444	50,533.288	51,390.001	43,705.460	44,232.940	46,435.925	49,795.892	2016
Austria	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	11,201.815	12,210.989	13,199.460	14,146.935	14,696.020	15,496.074	16,161.601	16,830.155	17,564.354	18,911.718	20,328.262	21,541.537	22,240.075	22,646.346	23,545.919	24,617.493	25,633.325	26,616.939	27,833.033	29,216.581	30,813.679	31,819.532	32,681.141	33,435.400	35,063.277	36,715.160	38,909.531	41,255.594	42,580.450	41,175.188	42,382.584	44,326.545	45,275.849	45,787.486	46,543.609	47,030.273	47,725.653	49,247.223	50,729.292	2016
Austria	Unemployment rate	Percent of total labor force		Source: National Statistics Office Latest actual data: 2016 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2017	1.600	2.200	3.100	3.700	3.800	3.600	3.100	3.800	2.676	2.348	2.723	3.151	3.290	3.958	3.850	4.242	4.717	4.758	4.708	4.142	3.883	4.008	4.392	4.792	5.492	5.650	5.225	4.875	4.133	5.333	4.808	4.583	4.933	5.342	5.625	5.742	6.008	5.350	5.300	2016
Austria	Population	Persons	Millions	Source: National Statistics Office Latest actual data: 2016 Primary domestic currency: Euro Data last updated: 09/2017	7.540	7.556	7.565	7.543	7.544	7.549	7.557	7.567	7.576	7.594	7.645	7.711	7.799	7.883	7.929	7.948	7.959	7.968	7.977	7.992	8.012	8.042	8.082	8.118	8.169	8.225	8.268	8.295	8.322	8.341	8.361	8.389	8.426	8.477	8.544	8.630	8.740	8.815	8.885	2016
Azerbaijan	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.646	4.197	93.309	276.177	351.986	402.937	418.511	470.941	579.705	645.606	727.944	848.461	1,001.468	1,453.991	2,152.952	3,222.015	4,271.780	3,965.680	4,692.670	5,608.383	5,869.574	6,226.523	6,312.993	5,771.684	6,319.576	6,965.888	7,546.259	2015
Azerbaijan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	159.971	174.875	297.162	312.842	409.191	505.567	540.852	571.507	647.837	665.014	748.310	863.808	1,019.236	1,541.170	2,414.909	3,759.279	5,212.825	4,933.359	5,847.260	7,106.040	7,471.770	7,936.510	8,048.780	5,396.409	3,956.411	4,097.581	4,438.976	2015
Azerbaijan	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4,637.376	3,637.301	2,940.716	2,567.302	2,667.612	2,926.064	3,105.779	3,467.522	3,710.414	3,994.621	4,336.091	4,831.032	5,409.314	6,979.670	9,570.765	12,149.521	13,579.485	14,820.990	15,621.065	15,561.818	16,062.834	17,132.423	17,761.141	17,926.700	17,452.982	17,432.947	17,857.247	2015
Azerbaijan	Unemployment rate	Percent of total labor force		Source: National Statistics Office Latest actual data: 2015 Employment type: Harmonized ILO definition Primary domestic currency: Azerbaijan manat Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	9.665	8.387	7.625	6.829	6.545	6.072	6.048	6.048	6.048	6.048	6.048	6.048	6.048	6.048	6.048	6.048	2015
Azerbaijan	Population	Persons	Millions	Source: National Statistics Office Latest actual data: 2015 Notes: Data prior to 2005 cannot be confirmed at this time. Primary domestic currency: Azerbaijan manat Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7.459	7.487	7.597	7.726	7.763	7.838	7.913	8.016	8.139	8.234	8.328	8.423	8.518	8.613	8.707	8.802	8.897	8.977	9.049	9.122	9.195	9.268	9.342	9.417	9.492	9.568	9.645	2015
The Bahamas	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,657.726	9,818.388	10,803.097	11,755.457	12,280.705	13,200.753	14,028.148	15,187.690	15,468.637	17,143.077	16,075.836	15,487.125	15,212.525	14,869.207	15,403.454	15,881.622	16,432.613	17,198.224	18,255.138	20,197.853	20,894.312	21,200.700	22,310.507	21,970.800	22,124.055	23,714.438	24,215.200	24,987.835	24,481.886	22,952.495	22,957.794	22,647.324	23,842.937	23,924.831	23,926.418	24,309.568	23,670.793	24,510.649	25,268.573	2015
The Bahamas	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,657.726	9,818.388	10,803.097	11,755.457	12,280.705	13,200.753	14,028.148	15,187.690	15,468.637	17,143.077	16,075.836	15,487.125	15,212.525	14,869.207	15,403.454	15,881.622	16,432.613	17,198.224	18,255.138	20,197.853	20,894.312	21,200.700	22,310.507	21,970.800	22,124.055	23,714.438	24,215.200	24,987.835	24,481.886	22,952.495	22,957.794	22,647.324	23,842.937	23,924.831	23,926.418	24,309.568	23,670.793	24,510.649	25,268.573	2015
The Bahamas	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,334.405	9,724.774	10,728.164	11,644.116	12,077.156	12,806.866	13,177.561	13,780.284	14,286.669	14,927.687	15,383.419	14,930.248	14,435.306	14,570.723	15,086.973	15,750.068	16,432.091	17,248.131	17,959.154	19,222.756	20,152.285	20,840.113	21,419.334	21,268.222	21,745.789	22,900.833	23,905.014	24,599.066	24,213.274	23,112.608	23,492.653	23,858.137	24,770.985	24,895.590	24,931.083	24,508.454	24,484.774	25,079.638	25,916.164	2015
